Name,personId,222_best,222_worldRank,333_best,333_worldRank,333bf_best,333bf_worldRank,333fm_best,333fm_worldRank,333ft_best,333ft_worldRank,333mbf_best,333mbf_worldRank,333oh_best,333oh_worldRank,444_best,444_worldRank,444bf_best,444bf_worldRank,555_best,555_worldRank,555bf_best,555bf_worldRank,666_best,666_worldRank,777_best,777_worldRank,clock_best,clock_worldRank,magic_best,magic_worldRank,minx_best,minx_worldRank,mmagic_best,mmagic_worldRank,pyram_best,pyram_worldRank,skewb_best,skewb_worldRank,sq1_best,sq1_worldRank
Luciano James Capuano,2023CAPU02,2.5,12786.0,16.7,70947,,,,,,,,,53.5,50594.0,,,,,,,,,,,,,6.2,1758.0,,,110.1,11366.0,,,1.7,545.0,3.7,5126.0,,
Ming Chai,2022CHAI09,2.8,18040.0,16.8,72009,,,,,,,,,,,95.3,48325.0,,,,,,,,,,,7.2,2679.0,,,,,,,4.5,10789.0,7.5,23028.0,,
Daniel Sebastian Cortes,2024CORT19,4.9,58891.0,17.3,75495,,,,,,,,,,,79.6,39608.0,,,,,,,,,,,,,,,,,,,14.2,86863.0,10.8,37079.0,,
Jacob Lucarelli,2023LUCA10,3.2,25783.0,17.6,78335,,,,,,,,,,,126.5,60669.0,,,,,,,,,,,,,,,,,,,7.9,38383.0,3.9,5789.0,,
Kenta Fujii,2023FUJI11,2.8,18930.0,18.1,81761,,,,,,,,,58.7,52809.0,121.8,59183.0,,,,,,,,,,,10.4,6257.0,,,199.4,23058.0,,,5.2,15531.0,10.7,36499.0,,
Roger Lin,2024LINR01,4.5,50931.0,18.3,83087,,,,,,,,,40.7,41897.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yili Yi,2024YIYI01,4.0,40398.0,18.5,84575,,,0.6,10172.0,,,,,69.6,56445.0,64.9,29341.0,,,226.0,31051.0,,,406.6,13562.0,480.6,10184.0,,,,,,,,,10.9,65874.0,6.8,19369.0,55.6,17275.0
Dominic Bologna,2024BOLO02,2.2,9140.0,19.2,89601,,,,,,,,,,,,,,,,,,,,,,,16.2,12297.0,,,,,,,6.9,29083.0,18.7,54550.0,63.1,18334.0
Leon Elihu,2024ELIH01,5.5,71104.0,19.4,91331,,,,,,,,,,,150.9,66126.0,,,,,,,,,,,,,,,187.5,21935.0,,,9.0,49217.0,27.1,60027.0,,
Skylar Jeffrey Adam Sanderlin,2024SAND18,7.7,104296.0,20.0,94967,,,,,,,,,62.6,54219.0,,,,,,,,,,,,,22.5,16807.0,,,,,,,8.5,44091.0,18.6,54463.0,,
Isaac Werthheimer,2023WERT01,4.6,53193.0,20.2,96535,,,,,,,,,36.8,38146.0,109.3,54733.0,,,233.6,31538.0,,,,,,,22.5,16761.0,,,189.1,22079.0,,,10.0,57946.0,6.7,18978.0,44.2,14932.0
Theodore Chen,2023CHET03,2.8,18552.0,21.0,101819,,,,,,,,,,,117.0,57635.0,,,,,,,,,,,7.8,3256.0,,,123.5,13482.0,,,6.4,25162.0,8.3,26923.0,22.2,6804.0
Lemuel Forestal,2023FORE01,7.4,101440.0,21.0,102270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,68002.0,,,,
Neil John,2023JOHN48,7.0,96671.0,21.1,102692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,73006.0,,,,
Samuel Burtraw,2025BURT02,2.5,13369.0,21.5,105412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,25000.0,,,,
Levi Oscar Forestal,2023FORE02,6.1,82000.0,21.5,105626,,,,,,,,,,,,,,,,,,,,,,,20.2,15330.0,,,,,,,6.8,28068.0,,,,
Jack Henry Greenberg,2024GREE15,4.8,58511.0,23.0,115154,,,,,,,,,,,,,,,,,,,,,,,26.0,18483.0,,,172.9,20378.0,,,12.0,74113.0,,,,
Hudson Law,2024LAWH01,6.1,82816.0,23.4,117090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,63129.0,,,,
Aubriana Zimpelman,2024ZIMP01,8.2,109902.0,26.2,132885,,,,,,,,,,,,,,,,,,,,,,,10.7,6650.0,,,,,,,8.6,44760.0,13.6,45617.0,,
Marcus Tan,2023TANM01,6.4,87282.0,27.4,138784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuaib Hashemi,2019HASH03,7.0,96129.0,28.3,143067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,61694.0,,,,
Ellie Burtraw,2025BURT01,6.1,82816.0,29.2,147088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,43721.0,,,,
Jake Schnatz,2024SCHN12,5.8,77877.0,30.6,153360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,65645.0,,,,
Masaru Hsiao,2023HSIA01,11.1,130815.0,31.0,155002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yechen Fang,2025FANG02,,,32.0,159066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Ragusa,2024RAGU02,7.8,106377.0,35.0,170235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wataru Hsiao,2023HSIA02,10.3,126257.0,36.2,174305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,107463.0,,,,
Ian Tark,2024TARK01,13.1,139179.0,37.1,177206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Elihu,2024ELIH02,,,40.7,187787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
